#name: Name
#folder: NA
#X: NA
#treatment: NA
#reading: NA
#dose: NA
#collection: NA
#FCS_File: NA
name	folder	X	treatment	reading	dose	collection	FCS_File
3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Harvest during degradation_100 uM (60 mins).fcs	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Harvest during degradation_100 uM (60 mins).fcs	DRA03	36	100 uM (Inter 4)	3	100	intermediate 2	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Harvest during degradation_100 uM (60 mins).fcs
4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0 uM.fcs	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0 uM.fcs	DRA04	37	0 uM	4	0	end	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0 uM.fcs
4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0.0064 uM.fcs	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0.0064 uM.fcs	DRA04	38	0.0064 uM	4	0.0064	end	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0.0064 uM.fcs
4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0.032 uM.fcs	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0.032 uM.fcs	DRA04	39	0.032 uM	4	0.032	end	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0.032 uM.fcs
4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0.16 uM.fcs	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0.16 uM.fcs	DRA04	40	0.16 uM	4	0.16	end	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0.16 uM.fcs
4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0.8 uM.fcs	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0.8 uM.fcs	DRA04	41	0.8 uM	4	0.8	end	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_0.8 uM.fcs
4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_100 uM.fcs	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_100 uM.fcs	DRA04	42	100 uM	4	100	end	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_100 uM.fcs
4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_20 uM.fcs	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_20 uM.fcs	DRA04	43	20 uM	4	20	end	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_20 uM.fcs
4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_4 uM.fcs	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_4 uM.fcs	DRA04	44	4 uM	4	4	end	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Exponential_4 uM.fcs
4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs	DRA04	45	0.16 uM (Inter 1)	4	0.16	intermediate 1	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs
