#name: Name
#folder: NA
#X: NA
#strain: NA
#treatment: NA
#colony: NA
#design: NA
#yeast: NA
#design_yeast: NA
#FCS_File: NA
name	folder	X	strain	treatment	colony	design	yeast	design_yeast	FCS_File
303112022-Pat-TCA03_Time-course assay_Control_yWL185-C1.fcs	303112022-Pat-TCA03_Time-course assay_Control_yWL185-C1.fcs	TCA03	41	yWL185	Control	1	TIR1 cis	W303	TIR1 cis_W303	303112022-Pat-TCA03_Time-course assay_Control_yWL185-C1.fcs
303112022-Pat-TCA03_Time-course assay_Control_yWL185-C2.fcs	303112022-Pat-TCA03_Time-course assay_Control_yWL185-C2.fcs	TCA03	42	yWL185	Control	2	TIR1 cis	W303	TIR1 cis_W303	303112022-Pat-TCA03_Time-course assay_Control_yWL185-C2.fcs
303112022-Pat-TCA03_Time-course assay_Control_yWL186-C1.fcs	303112022-Pat-TCA03_Time-course assay_Control_yWL186-C1.fcs	TCA03	43	yWL186	Control	1	AFB2 cis	W303	AFB2 cis_W303	303112022-Pat-TCA03_Time-course assay_Control_yWL186-C1.fcs
303112022-Pat-TCA03_Time-course assay_Control_yWL186-C2.fcs	303112022-Pat-TCA03_Time-course assay_Control_yWL186-C2.fcs	TCA03	44	yWL186	Control	2	AFB2 cis	W303	AFB2 cis_W303	303112022-Pat-TCA03_Time-course assay_Control_yWL186-C2.fcs
303112022-Pat-TCA03_Time-course assay_Control_yWL209-C1.fcs	303112022-Pat-TCA03_Time-course assay_Control_yWL209-C1.fcs	TCA03	45	yWL209	Control	1	TIR1 cis	YPH499	TIR1 cis_YPH499	303112022-Pat-TCA03_Time-course assay_Control_yWL209-C1.fcs
303112022-Pat-TCA03_Time-course assay_Control_yWL209-C2.fcs	303112022-Pat-TCA03_Time-course assay_Control_yWL209-C2.fcs	TCA03	46	yWL209	Control	2	TIR1 cis	YPH499	TIR1 cis_YPH499	303112022-Pat-TCA03_Time-course assay_Control_yWL209-C2.fcs
303112022-Pat-TCA03_Time-course assay_Control_yWL210-C1.fcs	303112022-Pat-TCA03_Time-course assay_Control_yWL210-C1.fcs	TCA03	47	yWL210	Control	1	AFB2 cis	YPH499	AFB2 cis_YPH499	303112022-Pat-TCA03_Time-course assay_Control_yWL210-C1.fcs
303112022-Pat-TCA03_Time-course assay_Control_yWL210-C2.fcs	303112022-Pat-TCA03_Time-course assay_Control_yWL210-C2.fcs	TCA03	48	yWL210	Control	2	AFB2 cis	YPH499	AFB2 cis_YPH499	303112022-Pat-TCA03_Time-course assay_Control_yWL210-C2.fcs
403112022-Pat-TCA04_Time-course assay_Auxin_yWL185-C1.fcs	403112022-Pat-TCA04_Time-course assay_Auxin_yWL185-C1.fcs	TCA04	49	yWL185	50 uM Auxin	1	TIR1 cis	W303	TIR1 cis_W303	403112022-Pat-TCA04_Time-course assay_Auxin_yWL185-C1.fcs
403112022-Pat-TCA04_Time-course assay_Auxin_yWL185-C2.fcs	403112022-Pat-TCA04_Time-course assay_Auxin_yWL185-C2.fcs	TCA04	50	yWL185	50 uM Auxin	2	TIR1 cis	W303	TIR1 cis_W303	403112022-Pat-TCA04_Time-course assay_Auxin_yWL185-C2.fcs
403112022-Pat-TCA04_Time-course assay_Auxin_yWL186-C1.fcs	403112022-Pat-TCA04_Time-course assay_Auxin_yWL186-C1.fcs	TCA04	51	yWL186	50 uM Auxin	1	AFB2 cis	W303	AFB2 cis_W303	403112022-Pat-TCA04_Time-course assay_Auxin_yWL186-C1.fcs
403112022-Pat-TCA04_Time-course assay_Auxin_yWL186-C2.fcs	403112022-Pat-TCA04_Time-course assay_Auxin_yWL186-C2.fcs	TCA04	52	yWL186	50 uM Auxin	2	AFB2 cis	W303	AFB2 cis_W303	403112022-Pat-TCA04_Time-course assay_Auxin_yWL186-C2.fcs
403112022-Pat-TCA04_Time-course assay_Auxin_yWL209-C1.fcs	403112022-Pat-TCA04_Time-course assay_Auxin_yWL209-C1.fcs	TCA04	53	yWL209	50 uM Auxin	1	TIR1 cis	YPH499	TIR1 cis_YPH499	403112022-Pat-TCA04_Time-course assay_Auxin_yWL209-C1.fcs
403112022-Pat-TCA04_Time-course assay_Auxin_yWL209-C2.fcs	403112022-Pat-TCA04_Time-course assay_Auxin_yWL209-C2.fcs	TCA04	54	yWL209	50 uM Auxin	2	TIR1 cis	YPH499	TIR1 cis_YPH499	403112022-Pat-TCA04_Time-course assay_Auxin_yWL209-C2.fcs
403112022-Pat-TCA04_Time-course assay_Auxin_yWL210-C1.fcs	403112022-Pat-TCA04_Time-course assay_Auxin_yWL210-C1.fcs	TCA04	55	yWL210	50 uM Auxin	1	AFB2 cis	YPH499	AFB2 cis_YPH499	403112022-Pat-TCA04_Time-course assay_Auxin_yWL210-C1.fcs
403112022-Pat-TCA04_Time-course assay_Auxin_yWL210-C2.fcs	403112022-Pat-TCA04_Time-course assay_Auxin_yWL210-C2.fcs	TCA04	56	yWL210	50 uM Auxin	2	AFB2 cis	YPH499	AFB2 cis_YPH499	403112022-Pat-TCA04_Time-course assay_Auxin_yWL210-C2.fcs
403112022-Pat-TCA04_Time-course assay_Control_yWL185-C1.fcs	403112022-Pat-TCA04_Time-course assay_Control_yWL185-C1.fcs	TCA04	57	yWL185	Control	1	TIR1 cis	W303	TIR1 cis_W303	403112022-Pat-TCA04_Time-course assay_Control_yWL185-C1.fcs
403112022-Pat-TCA04_Time-course assay_Control_yWL185-C2.fcs	403112022-Pat-TCA04_Time-course assay_Control_yWL185-C2.fcs	TCA04	58	yWL185	Control	2	TIR1 cis	W303	TIR1 cis_W303	403112022-Pat-TCA04_Time-course assay_Control_yWL185-C2.fcs
403112022-Pat-TCA04_Time-course assay_Control_yWL186-C1.fcs	403112022-Pat-TCA04_Time-course assay_Control_yWL186-C1.fcs	TCA04	59	yWL186	Control	1	AFB2 cis	W303	AFB2 cis_W303	403112022-Pat-TCA04_Time-course assay_Control_yWL186-C1.fcs
403112022-Pat-TCA04_Time-course assay_Control_yWL186-C2.fcs	403112022-Pat-TCA04_Time-course assay_Control_yWL186-C2.fcs	TCA04	60	yWL186	Control	2	AFB2 cis	W303	AFB2 cis_W303	403112022-Pat-TCA04_Time-course assay_Control_yWL186-C2.fcs
403112022-Pat-TCA04_Time-course assay_Control_yWL209-C1.fcs	403112022-Pat-TCA04_Time-course assay_Control_yWL209-C1.fcs	TCA04	61	yWL209	Control	1	TIR1 cis	YPH499	TIR1 cis_YPH499	403112022-Pat-TCA04_Time-course assay_Control_yWL209-C1.fcs
403112022-Pat-TCA04_Time-course assay_Control_yWL209-C2.fcs	403112022-Pat-TCA04_Time-course assay_Control_yWL209-C2.fcs	TCA04	62	yWL209	Control	2	TIR1 cis	YPH499	TIR1 cis_YPH499	403112022-Pat-TCA04_Time-course assay_Control_yWL209-C2.fcs
403112022-Pat-TCA04_Time-course assay_Control_yWL210-C1.fcs	403112022-Pat-TCA04_Time-course assay_Control_yWL210-C1.fcs	TCA04	63	yWL210	Control	1	AFB2 cis	YPH499	AFB2 cis_YPH499	403112022-Pat-TCA04_Time-course assay_Control_yWL210-C1.fcs
403112022-Pat-TCA04_Time-course assay_Control_yWL210-C2.fcs	403112022-Pat-TCA04_Time-course assay_Control_yWL210-C2.fcs	TCA04	64	yWL210	Control	2	AFB2 cis	YPH499	AFB2 cis_YPH499	403112022-Pat-TCA04_Time-course assay_Control_yWL210-C2.fcs
503112022-Pat-TCA05_Time-course assay_Auxin_yWL185-C1.fcs	503112022-Pat-TCA05_Time-course assay_Auxin_yWL185-C1.fcs	TCA05	65	yWL185	50 uM Auxin	1	TIR1 cis	W303	TIR1 cis_W303	503112022-Pat-TCA05_Time-course assay_Auxin_yWL185-C1.fcs
503112022-Pat-TCA05_Time-course assay_Auxin_yWL185-C2.fcs	503112022-Pat-TCA05_Time-course assay_Auxin_yWL185-C2.fcs	TCA05	66	yWL185	50 uM Auxin	2	TIR1 cis	W303	TIR1 cis_W303	503112022-Pat-TCA05_Time-course assay_Auxin_yWL185-C2.fcs
503112022-Pat-TCA05_Time-course assay_Auxin_yWL186-C1.fcs	503112022-Pat-TCA05_Time-course assay_Auxin_yWL186-C1.fcs	TCA05	67	yWL186	50 uM Auxin	1	AFB2 cis	W303	AFB2 cis_W303	503112022-Pat-TCA05_Time-course assay_Auxin_yWL186-C1.fcs
503112022-Pat-TCA05_Time-course assay_Auxin_yWL186-C2.fcs	503112022-Pat-TCA05_Time-course assay_Auxin_yWL186-C2.fcs	TCA05	68	yWL186	50 uM Auxin	2	AFB2 cis	W303	AFB2 cis_W303	503112022-Pat-TCA05_Time-course assay_Auxin_yWL186-C2.fcs
503112022-Pat-TCA05_Time-course assay_Auxin_yWL209-C1.fcs	503112022-Pat-TCA05_Time-course assay_Auxin_yWL209-C1.fcs	TCA05	69	yWL209	50 uM Auxin	1	TIR1 cis	YPH499	TIR1 cis_YPH499	503112022-Pat-TCA05_Time-course assay_Auxin_yWL209-C1.fcs
503112022-Pat-TCA05_Time-course assay_Auxin_yWL209-C2.fcs	503112022-Pat-TCA05_Time-course assay_Auxin_yWL209-C2.fcs	TCA05	70	yWL209	50 uM Auxin	2	TIR1 cis	YPH499	TIR1 cis_YPH499	503112022-Pat-TCA05_Time-course assay_Auxin_yWL209-C2.fcs
503112022-Pat-TCA05_Time-course assay_Auxin_yWL210-C1.fcs	503112022-Pat-TCA05_Time-course assay_Auxin_yWL210-C1.fcs	TCA05	71	yWL210	50 uM Auxin	1	AFB2 cis	YPH499	AFB2 cis_YPH499	503112022-Pat-TCA05_Time-course assay_Auxin_yWL210-C1.fcs
503112022-Pat-TCA05_Time-course assay_Auxin_yWL210-C2.fcs	503112022-Pat-TCA05_Time-course assay_Auxin_yWL210-C2.fcs	TCA05	72	yWL210	50 uM Auxin	2	AFB2 cis	YPH499	AFB2 cis_YPH499	503112022-Pat-TCA05_Time-course assay_Auxin_yWL210-C2.fcs
503112022-Pat-TCA05_Time-course assay_Control_yWL185-C1.fcs	503112022-Pat-TCA05_Time-course assay_Control_yWL185-C1.fcs	TCA05	73	yWL185	Control	1	TIR1 cis	W303	TIR1 cis_W303	503112022-Pat-TCA05_Time-course assay_Control_yWL185-C1.fcs
503112022-Pat-TCA05_Time-course assay_Control_yWL185-C2.fcs	503112022-Pat-TCA05_Time-course assay_Control_yWL185-C2.fcs	TCA05	74	yWL185	Control	2	TIR1 cis	W303	TIR1 cis_W303	503112022-Pat-TCA05_Time-course assay_Control_yWL185-C2.fcs
503112022-Pat-TCA05_Time-course assay_Control_yWL186-C1.fcs	503112022-Pat-TCA05_Time-course assay_Control_yWL186-C1.fcs	TCA05	75	yWL186	Control	1	AFB2 cis	W303	AFB2 cis_W303	503112022-Pat-TCA05_Time-course assay_Control_yWL186-C1.fcs
503112022-Pat-TCA05_Time-course assay_Control_yWL186-C2.fcs	503112022-Pat-TCA05_Time-course assay_Control_yWL186-C2.fcs	TCA05	76	yWL186	Control	2	AFB2 cis	W303	AFB2 cis_W303	503112022-Pat-TCA05_Time-course assay_Control_yWL186-C2.fcs
503112022-Pat-TCA05_Time-course assay_Control_yWL209-C1.fcs	503112022-Pat-TCA05_Time-course assay_Control_yWL209-C1.fcs	TCA05	77	yWL209	Control	1	TIR1 cis	YPH499	TIR1 cis_YPH499	503112022-Pat-TCA05_Time-course assay_Control_yWL209-C1.fcs
503112022-Pat-TCA05_Time-course assay_Control_yWL209-C2.fcs	503112022-Pat-TCA05_Time-course assay_Control_yWL209-C2.fcs	TCA05	78	yWL209	Control	2	TIR1 cis	YPH499	TIR1 cis_YPH499	503112022-Pat-TCA05_Time-course assay_Control_yWL209-C2.fcs
503112022-Pat-TCA05_Time-course assay_Control_yWL210-C1.fcs	503112022-Pat-TCA05_Time-course assay_Control_yWL210-C1.fcs	TCA05	79	yWL210	Control	1	AFB2 cis	YPH499	AFB2 cis_YPH499	503112022-Pat-TCA05_Time-course assay_Control_yWL210-C1.fcs
503112022-Pat-TCA05_Time-course assay_Control_yWL210-C2.fcs	503112022-Pat-TCA05_Time-course assay_Control_yWL210-C2.fcs	TCA05	80	yWL210	Control	2	AFB2 cis	YPH499	AFB2 cis_YPH499	503112022-Pat-TCA05_Time-course assay_Control_yWL210-C2.fcs
603112022-Pat-TCA06_Time-course assay_Auxin_yWL185-C1.fcs	603112022-Pat-TCA06_Time-course assay_Auxin_yWL185-C1.fcs	TCA06	81	yWL185	50 uM Auxin	1	TIR1 cis	W303	TIR1 cis_W303	603112022-Pat-TCA06_Time-course assay_Auxin_yWL185-C1.fcs
603112022-Pat-TCA06_Time-course assay_Auxin_yWL185-C2.fcs	603112022-Pat-TCA06_Time-course assay_Auxin_yWL185-C2.fcs	TCA06	82	yWL185	50 uM Auxin	2	TIR1 cis	W303	TIR1 cis_W303	603112022-Pat-TCA06_Time-course assay_Auxin_yWL185-C2.fcs
