#name: Name
#folder: NA
#X: NA
#treatment: NA
#dose: NA
#replicate: NA
#date: NA
#FCS_File: NA
name	folder	X	treatment	dose	replicate	date	FCS_File
4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.16 uM.fcs	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.16 uM.fcs	DRA-01312023_read9	44	0.16 uM	0.16	4	31-Jan-23	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.16 uM.fcs
4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.8 uM.fcs	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.8 uM.fcs	DRA-01312023_read9	45	0.8 uM	0.8	4	31-Jan-23	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.8 uM.fcs
4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 100 uM.fcs	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 100 uM.fcs	DRA-01312023_read9	46	100 uM	100	4	31-Jan-23	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 100 uM.fcs
4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 20 uM.fcs	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 20 uM.fcs	DRA-01312023_read9	47	20 uM	20	4	31-Jan-23	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 20 uM.fcs
4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 4 uM.fcs	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 4 uM.fcs	DRA-01312023_read9	48	4 uM	4	4	31-Jan-23	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 4 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0 uM.fcs	DRA-08312022_read9	49	0 uM	0	5	31-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.0000953 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.0000953 uM.fcs	DRA-08312022_read9	50	0.0000953 uM	9.53e-05	5	31-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.0000953 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.000381 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.000381 uM.fcs	DRA-08312022_read9	51	0.000381 uM	0.000381	5	31-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.000381 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.001525 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.001525 uM.fcs	DRA-08312022_read9	52	0.001525 uM	0.001525	5	31-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.001525 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.00610 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.00610 uM.fcs	DRA-08312022_read9	53	0.00610 uM	0.0061	5	31-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.00610 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.02441 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.02441 uM.fcs	DRA-08312022_read9	54	0.02441 uM	0.02441	5	31-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.02441 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.09765 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.09765 uM.fcs	DRA-08312022_read9	55	0.09765 uM	0.09765	5	31-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.09765 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.3906 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.3906 uM.fcs	DRA-08312022_read9	56	0.3906 uM	0.3906	5	31-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 0.3906 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 1.5625 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 1.5625 uM.fcs	DRA-08312022_read9	57	1.5625 uM	1.5625	5	31-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 1.5625 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 100 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 100 uM.fcs	DRA-08312022_read9	58	100 uM	100	5	31-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 100 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 25 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 25 uM.fcs	DRA-08312022_read9	59	25 uM	25	5	31-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 25 uM.fcs
