#name: Name
#folder: NA
#X: NA
#treatment: NA
#reading: NA
#dose: NA
#set: NA
#sample_set: NA
#colony: NA
#FCS_File: NA
name	folder	X	treatment	reading	dose	set	sample_set	colony	FCS_File
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.0000953 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.0000953 uM.fcs	S-DRA02	38	0.0000953 uM	2	9.53e-05	4	2_2	2	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.0000953 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.000381 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.000381 uM.fcs	S-DRA02	39	0.000381 uM	2	0.000381	4	2_2	2	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.000381 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.001525 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.001525 uM.fcs	S-DRA02	40	0.001525 uM	2	0.001525	4	2_2	2	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.001525 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.00610 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.00610 uM.fcs	S-DRA02	41	0.0061 uM	2	0.0061	4	2_2	2	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.00610 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.02441 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.02441 uM.fcs	S-DRA02	42	0.02441 uM	2	0.02441	4	2_2	2	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.02441 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.09765 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.09765 uM.fcs	S-DRA02	43	0.09765 uM	2	0.09765	4	2_2	2	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.09765 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.3906 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.3906 uM.fcs	S-DRA02	44	0.3906 uM	2	0.3906	4	2_2	2	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0.3906 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 1.5625 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 1.5625 uM.fcs	S-DRA02	45	1.5625 uM	2	1.5625	4	2_2	2	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 1.5625 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 100 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 100 uM.fcs	S-DRA02	46	100 uM	2	100	4	2_2	2	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 100 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 25 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 25 uM.fcs	S-DRA02	47	25 uM	2	25	4	2_2	2	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 25 uM.fcs
